"rotulo","provincia","direccion"
"PETROLIS","LLEIDA","CALLE PRAT DE LA RIBA, 109"
"COOPERATIVA LINYOLA","LLEIDA","C/ PRAT DE LA RIBA , S/N"
"VERGE LORETO","LLEIDA","CALLE FLIX, 0"
"REPSOL","LLEIDA","CALLE ACADEMIA, 28"
"ESCLATOIL","LLEIDA","CALLE ENGINYER ANTONI LLOBET, S/N"
"NOUTRANSPORT","LLEIDA","VIAL C, PARCELA 1 (CIM LLEIDA), 1"
"BONAREA","LLEIDA","POLIGONO EL SEGRE, 201"
"REPSOL","LLEIDA","CARRETERA LL-11 KM. 9,000"
"AGROVIC ALIMENTACIÓN, S.A.","LLEIDA","POLIGONO INDUSTRIAL EL SEGRE P.203-R"
"GP","LLEIDA","CARRETERA NACIONAL II L11 KM. 467,6"
"BONAREA","LLEIDA","POLIGONO INDUSTRIAL EL SEGRE,PARCELA 202"
"CEPSA","LLEIDA","POLIGONO INDUSTRIAL EL SEGRE, 202R, 202"
"SERVETO","LLEIDA","CALLE JOSEP SEGURA I FARRE, 721"
"INCOENERGY","LLEIDA","CARRETERA 230 KM. 6,5"
"NIEVES","LLEIDA","PARTIDA CTRA NACIONL II, N"
"COOPERATIVA MAIALS","LLEIDA","CARRETERA C45 - CTRA. MAIALS A SERÒS KM."
"AGRARIA DE MIRALCAMP","LLEIDA","POLIGONO POLIGON 12, PARC, 9, 1"
"PETROLIS","LLEIDA","RONDA DE PONENT, 1"
"E.S NAUT ARAN","LLEIDA","CARRETERA C-28 KM. 29,5"
"PETROLIS DE BARCELONA","LLEIDA","CTRA. MANRESA, C-55 km 77,50"
"S.C.C.L.A. ""SANT ROC""","LLEIDA","C/ URGELL, S/N"
"BONAREA","LLEIDA","C/ SANTA MAGDALENA, S/N"
"BONAREA","LLEIDA","POL. IND., C/PONENT, S/N"
"FRU-ROSE, SCCL","LLEIDA","AVGDA.DE LA FRUITA, 11"
"E.S. SEROS","LLEIDA","CR L-7042, 12"
"REPSOL","LLEIDA","CARRETERA CTRA. DE MANRESA S/N KM."
"BONAREA","LLEIDA","CARRETERA MANRESA KM. 78,100"
"PORT CANTÓ","LLEIDA","CARRETERA N-260 KM. 278,25"
"BONAREA","LLEIDA","POLIGONO ELS SALANCONS, 1"
"COOPSOSES","LLEIDA","CAMÍ DE LA VÍA,1"
"TRECOOP","LLEIDA","CALLE TORRES DE SEGRE, S/N"
"COOP. DEL CAMP DE SUNYER","LLEIDA","PISTA DE TORRES S/N"
"BONAREA","LLEIDA","AVENIDA BARCELONA, 26"
"REPSOL","LLEIDA","CARRETERA C-240 KM. 29"
"REPSOL","LLEIDA","CARRETERA A-2 KM. 507,39"
"PETROMIRALLES","LLEIDA","PG IND. LA CANALETA S/N (BARCELONA-MADRID km 507)"
"ESCLATOIL","LLEIDA","AVINGUDA TARRAGONA, 13"
"PETROLIS INDEPENDENTS - PETRO7","LLEIDA","AV. CERVERA ESQ. MESTRE GÜELL  - C.C. CAPRABO"
"NO","LLEIDA","CARRETERA C-13 KM. 14"
"SAV SERVEIS","LLEIDA","AVINGUDA DE LA PAU, 1"
"BONAREA","LLEIDA","C-1412A (BONAREA) km 23,85"
"LOW COST 24","LLEIDA","CARRER DIAGONAL, 7"
"BONAREA","LLEIDA","CALLE C/MARINADA, S/N"
"CEPSA","LLEIDA","CARRETERA N-240 KM. 77,800"
"F.A.LES PLANES","LLEIDA","CAMI GILIBLAU, S/N"
"CEPSA","LLEIDA","CARRETERA N240 KM. 77,8"
"SIN ROTULO","LLEIDA","DISEMINADO AFORES, S/N"
"REPSOL","LLEIDA","CARRETERA C-13 KM. 86,30"
"ESCLATOIL","LLEIDA","AVENIDA PIRINEUS, S/N"
"BONAREA","LLEIDA","CRTA. C-13,  (C.C. BON AREA) km 84,25"
"BONAREA","LLEIDA","CARRETERA ARTESA DE SEGRE A TREMP KM. 51"
"VALLFOGONINA","LLEIDA","CARRER PAU CASALS, 2"
"BONAREA","LLEIDA","CTRA. TARREGA A MONTBLACH (C-240 km 69)"
"PETROCAT","LLEIDA","Ctra.C-142 km s/n"
"RESTAURANTE LA VIÑA","LLEIDA","C-13 km 15,7"
"REPSOL","LLEIDA","CR A-2, 486,4 (A-2 km 486,5)"
"IDS","LLEIDA","CTRA. N-II km 484"
"CEPSA","LUGO","N-634 KM.603 IRUN-SANTIAGO"
"ORTEGAL OIL","LUGO","POLIGONO PG INDUSTRIAL DE BARREIROS, PARCELA B, 54"
"PETROPRIX","LUGO","AVENIDA DO PERDOURO, 27"
"CAMPO DA CRUZ","LUGO","DE LUGO A GONTAN A CASTRO DE REI km 9"
"CEPSA","LUGO","AUTOVIA A-6 KM. 485"
"CEPSA","LUGO","AUTOVIA A-6 KM. 485"
"REPSOL","LUGO","AUTOVIA A6 KM. 479"
"GALP","LUGO","AUTOVIA A-6 PUNTO K, 538 MARGEN IZQUIERDO KM. 538"
"PARDIÑAS, CENTRO LOGISTICO","LUGO","PARQUE EMPRESARIAL DE GUITIRIZ, PARCELA, 55"
"REPSOL","LUGO","CARRETERA N-540 KM. 2"
"REPSOL","LUGO","CARRETERA N-540 KM. 2"
"LUGO SHELL EXPRESS","LUGO","AVENIDA BENIGNO RIVERA, S/N"
"REPSOL","LUGO","AVENIDA BENIGNO RIVERA, S/N"
"MASMAR OIL","LUGO","RUA INDUSTRIA (DA), 103"
"GASOLEOS CEAO","LUGO","POLIGONO DEL CEAO (ACCESO AUTOVIA)"
"NO EXISTE","LUGO","POLIGONO CEAO - RUA DAS CESTEIRAS PARCELA 9.2, S/N"
"PLENOIL","LUGO","AVENIDA BENIGNO RIVERA, 29"
"BP","LUGO","LUGAR MUXA DE ARRIBA (SANTA MAR, 640"
"REPSOL","LUGO","CL CARRETERA DE CHANTADA, S.N."
"PLENOIL","LUGO","RUA POETA MANUEL MARÍA, 34"
"Q8","LUGO","ACCESO CTRA. N-VI.  ROBRA,"
"BP","LUGO","LUGAR SOBORVILA, 10"
"O XEIXO,S.COOP GALEGA  OIL","LUGO","LUGAR CARRIZAL, S/N"
"LIBRE","LUGO","POLIGONO SIGALSA FASE 1 NAVE 1, S/N"
"VALCARCE","LUGO","CARRETERA NACIONAL 634 KM. 554"
"E.S. A VALIÑA","LUGO","CARRETERA C-546 KM. 30,12"
"E.S. POLIGONO","LUGO","CALLE CL/ MACIÑEIRA, ESQ. CERDEIRA - PGNO. SETE PONTES - PARCELA, 30"
"TEX","LUGO","CALLE CIUDAD DE VIVERO, 73"
"PLENOIL","LUGO","RUA CAMPO DEL PUENTE 72-74, 915687497"
"GASOGAL ENERGIA","LUGO","CARRETERA CARRETERA DE LANZOS LA BALSA KM. 3,33"
"CEPSA","LUGO","RUA ILLA GAVEIRA, 81"
"BP DUALEZ","MADRID","CTRA. LOCAL M-404 km 4,95"
"PLENOIL","MADRID","AVENIDA MADRID, 2"
"CRISTO DE LA SALUD","MADRID","PASEO AVILES, 2"
"GASEXPRESS","MADRID","CARRETERA DAGANZO KM. 3"
"AVIA","MADRID","CALLE MEJICO, 17"
"GALP","MADRID","N-II km 29,000"
"GALP","MADRID","N-II km 29,000"
"SHELL","MADRID","AVDA. PUERTA DE MADRID, 20"
"ALCAMPO","MADRID","C.C. LA DEHESA, AUTOVIA MADRID-BARCELONA km 34,0"
"CARREFOUR","MADRID","POLIGONO ESPARTALES SUR, C/ FEDERICO GARCIA LORCA,, S/N"
"CEPSA-ELF","MADRID","VÍA COMPLUTENSE, 41"
"SHELL","MADRID","VÍA COMPLUTENSE, 105"
"REPSOL","MADRID","CR M-300 (PG.MATILLAS-PARC.A1), P.K"
"PLENOIL","MADRID","AVENIDA DE MADRID, 60"
"REPSOL","MADRID","AVENIDA JUAN CARLOS I, S/N"
"SUPECO","MADRID","POLIGONO LA GARENA, AV. EUROPA, S/N, S/N"
"BALLENOIL","MADRID","CARRETERA DAGANZO KM. 5"
"PETROPRIX","MADRID","CALLE ISAAC NEWTON, 155"
"CEPSA","MADRID","AVENIDA DAGANZO, 12"
"GALP","MADRID","CALLE VILLAMALEA, 2"
"SHELL","MADRID","CARRETERA AJARVIL-ALCALA (PG 32C PARCELA26A) KM. S/N"
"GALP","MADRID","AVENIDA VALDELAPARRA (DE), 5"
"CARREFOUR","MADRID","CARRETERA A-1 KM. 14,500"
"BALLENOIL","MADRID","CALLE VALGRANDE, 30"
"BP VALDAVIA","MADRID","CALLE MARQUES DE LA VALDAVIA (DEL), 138"
"BP JUNCAL","MADRID","CARRETERA BARAJAS KM. S/N"
"REPSOL","MADRID","CL AVENIDA DE ESPAÑA, S.N."
"PETROPRIX","MADRID","AVENIDA MARQUES DE LA VALDAVIA, 132"
"PETROPRIX","MADRID","CALLE VALGRANDE, 11"
"ALCAMPO","MADRID","AVENIDA OLIMPICA, 9"
"SHELL","MADRID","CALLE POLVORANCA, 158"
"BP SAN MARTIN I","MADRID","CARRETERA ALCORCON-S.M.VALDEIGL. KM. 1,5"
"REPSOL","MADRID","CALLE CAMINO LEGANES, 55"
"BP LA PRINCESA 2","MADRID","CR MOSTOLES-FUENLABRADA,  KM.4"
"REPSOL","MADRID","CL AVDA DEL PINAR, S.N."
"BALLENOIL","MADRID","AVENIDA TRANVIA, 4"
"AVIA","MADRID","CARRETERA M-506 KM. 4"
"SHELL","MADRID","CTRA. N-V km 12,5"
"CEPSA","MADRID","CALLE LAGUNA, 2"
"PLENOIL","MADRID","AVENIDA SAN MARTIN DE VALDEIGLESIAS, 9"
"BALLENOIL","MADRID","CALLE LAGUNA, 88"
"REPSOL","MADRID","CALLE LAGUNA, 36"
"PETROPRIX","MADRID","CALLE PARAGUAY ESQUINA AVENIDA DE AMERICA, SN"
"SOLNER","MADRID","CALLE TELECOMUNICACIONES, 2"
"PLENOIL","MADRID","CALLE POLVORANCA, 65"
"REPSOL URTINSA 365","MADRID","CALLE EBANISTAS,, 2"
"NATURGY","MADRID","CALLE EBANISTAS, 2"
"SHELL","MADRID","CALLE MAYOR, 63"
"REPSOL","MADRID","CARRETERA M-106 KM. 3,100"
"BALLENOIL","MADRID","CALLE PELAYA (DE LA), 1"
"PETROPRIX","MADRID","CALLE PUERTA DE ABAJO, 57"
"BP LA FALUA","MADRID","CARRETERA M-305 KM. 5"
"E.LECLERC","MADRID","PASEO DELEITE (DEL), 13"
"BALLENOIL","MADRID","CAMINO SAN MARTIN DE LA VEGA, 8"
"PLENOIL","MADRID","AVENIDA MADRID (DE), 66"
"PETROPRIX","MADRID","AVENIDA MADRID (DE), SN"
"CEPSA","MADRID","AVENIDA VALDEARGANDA, 8"
"BP ARGANDA","MADRID","AVENIDA EJERCITO (DEL), 44"
"BALLENOIL","MADRID","CAMINO CAMINO DE SAN MARTÍN DE LA VEGA A ARGANDA, 2"
"REPSOL","MADRID","CARRETERA M-832 KM. 3"
"REPSOL","MADRID","FRESADORES, 19"
"BALLENOIL","MADRID","CALLE FRESADORES (DE), 7"
"REPSOL","MADRID","CR A-5, 23.5"
"MEROIL","MADRID","CARRETERA M-623 KM. 1,5"
"GALP","MADRID","CTRA. MV-5113; P.K. 1,800"
"CEPSA","MADRID","CARRETERA M-511 KM. 6,5"
"SHELL","MADRID","CTRA. 607 (DE COLMENAR A NAVACERRADA) km 48,2"
"REPSOL","MADRID","CARRETERA N-IV KM33 KM. 33"
"BP EII","MADRID","AUTOPISTA VIA DE SERVICIO M.D. KM. 38,300"
"BP EI","MADRID","AVENIDA JUAN CARLOS I, 3"
"CEPSA","MADRID","AUTOPISTA AP-6 (MRG.IZDO.) KM. 42,3"
"REPSOL","MADRID","CARRETERA NAVACERRADA KM. 1,33"
"REPSOL","MADRID","CALLE REAL, 2"
"PLENOIL","MADRID","CALLE CALLE POLÍGONO 5, 20"
"PETROPRIX","MADRID","AVENIDA JUAN CARLOS I, 24"
"CEPSA","MADRID","AUTOVIA A-1 KM. 29,1"
"ALCAMPO","MADRID","CALLE C.C. ALCAMPO, C/. TEJERA, 2"
"SHELL","MADRID","AVENIDA LIBERTAD (DE LA), 64"
"PLENOIL","MADRID","AVENIDA SAN PABLO, 29"
"BP COSLADA - AV CONSTITUCION","MADRID","AVENIDA CONSTITUCION, 30"
"BALLENOIL","MADRID","AVENIDA JARAMA (DEL), 17"
"Q8","MADRID","AVENIDA CONSTITUCION (DE LA), 28"
"SHELL","MADRID","AVENIDA SAN PABLO (DE), 39"
"REPSOL","MADRID","AVDA. JOSE GARATE, 2"
"BALLENOIL","MADRID","CALLE FRANKLIN, 1"
"GASOLEOS DAGANZO","MADRID","POLIGONO LOS FRAILES, 133"
"GALP","MADRID","Avda de la Hispanidad 20"
"BP AVANZADA FUENLABRADA","MADRID","C/ LEGANES Nº 62"
"BALLENOIL","MADRID","CALLE CONSTITUCION, 81"
"PETROPRIX","MADRID","CALLE CONSTITUCION (DE LA), 100"
"REPSOL","MADRID","CARRETERA A-42 KM. 18,7"
"CCA","MADRID","CALLE ALMANZOR, 11"
"PLENOIL","MADRID","CALLE LUIS SAUQUILLO, 131"
"BALLENOIL","MADRID","CALLE ANETO, 1"
"NATURGY ES FUENLABRADA","MADRID","AVENIDA LA CANTUEÑA, 8"
"PETROPRIX","MADRID","AVENIDA DE LA CANTUEÑA, 8"
"GASOLOWCOST","MADRID","CALLE ARGANZA, 5"
"REPSOL","MADRID","CARRETERA A-42 KM. 18,7"
"ALCAMPO FUENLABRADA","MADRID","CC. LORANCA ALCAMPO FUENLABRADA (AV. PABLO IGLESIAS, S/N, CIUDAD LORANCA)"
"CEPSA","MADRID","CALLE MÓSTOLES, 1"
"PLENOIL","MADRID","CALLE ENEBRO, 17"
"BP EL NARANJO","MADRID","CALLE CL MOSTOLES 61, 61"
"PLENOIL","MADRID","CALLE LUIS SAUQUILLO, 86"
"SHELL","MADRID","CARRETERA N III KM. 68,500"
"REPSOL","MADRID","M-505 km 15,5"
"BP  E.S LA POCILLA   GALAPAGAR","MADRID","CALLE GUADARRAMA, 70"
"SHELL","MADRID","CALLE FELIPE CALLEJA, S/N"
"BP A42 CABANAS MD","MADRID","CARRETERA A-42 KM. 13"
"BP A42 CABANAS MI","MADRID","CARRERA A-42, 13"
"CEPSA","MADRID","CARRETERA MADRID - CADIZ KM. 12,5"
"CEPSA","MADRID","AVENIDA DE LAS TRECE ROSAS, 6"
"REPSOL NASSICA 365","MADRID","AVENIDA RIO GUADALQUIVIR, 11"
"PETROPRIX","MADRID","CALLE HERREROS, 1"
"GASEXPRESS GETAFE","MADRID","AVENIDA RIO GUADALQUIVIR, 20"
"BP GETAFE - PG SAN MARCOS","MADRID","CL DIESEL C/V Pº JOHN LENNON, S.N."
"CEPSA","MADRID","AUTOVIA A-4 KM. 14,3"
"CEPSA","MADRID","AUTOVIA A-4 KM. 14,3"
"BALLENOIL","MADRID","CALLE FRANKLIN, 1"
"BALLENOIL","MADRID","AVENIDA HUMANES, 171"
"PLENOIL","MADRID","PASEO MOLINO DEL REY, 39"
"BP GUADARRAMA","MADRID","CARRETERA N-VI KM. 48"
"BP HUMANES - EL MOLINO","MADRID","AVENIDA DE LAS FLORES, 2"
"SHELL","MADRID","AVENIDA FUENLABRADA, 110"
"BALLENOIL","MADRID","AVENIDA FUENLABRADA, 6"
"BP VALDONAIRE","MADRID","CARRETERA AVD.DE LA INDUSTRIA KM. 15"
"BP","MADRID","AVENIDA FUENLABRADA, 16"
"CEPSA","MADRID","AVENIDA LENGUA ESPAÑOLA, S/N"
"CEPSA","MADRID","AVENIDA LENGUA ESPAÑOLA, 24"
"BP POLVORANCA","MADRID","CARRETERA M-407 KM. 1800"
"CEPSA CIUDAD DEL AUTOMÓVIL 365","MADRID","CALLE CARLOS SAINZ, S/N"
"REPSOL","MADRID","CALLE CARLOS SAINZ, SN"
"REPSOL","MADRID","CALLE ARROYO DEL SOTO, 2"
"BP TARAZA 365","MADRID","CALLE MARC GENE, 2"
"BALLENOIL","MADRID","CALLE REY PASTOR, 16"
"ZEROGAS","MADRID","CALLE PEDRO LARA, 8"
"REPSOL","MADRID","CL ALAVA , S.N."
"PETROPRIX","MADRID","CALLE VIZCAYA, 17"
"REPSOL","MADRID","AUTOPISTA AUTOPISTA R-3 LOECHES KM. 19,5"
"GALP","MADRID","CALLE CAÑADA DEL POZO, SN"
"REPSOL","MADRID","AUTOVIA N-1 KM. 65"
"REPSOL","MADRID","CL PASEO ACACIAS, 8"
"REPSOL","MADRID","CALLE ALBERTO AGUILERA, 9"
"SHELL","MADRID","CALLE ALBERTO AGUILERA, 18"
"CEPSA","MADRID","BARRIO CENTRO-EMBAJADORES, 83"
"REPSOL","MADRID","CL PASEO CASTELLANA, 276"
"SHELL","MADRID","CALLE FRANCISCO UMBRAL, 2"
"SHELL","MADRID","PASEO SANTA MARIA DE LA CABEZA, 90"
"REPSOL","MADRID","PASEO SANTA MARIA DE LA CABEZA, 18"
"REPSOL","MADRID","CL PLAZA LEGAZPI, 9"
"REPSOL","MADRID","CALLE REAL DE ARGANDA, 74"
"CEPSA","MADRID","AUTOVIA A-3 KM. 7,1"
"CEPSA","MADRID","AUTOVIA A-3 KM. 7,1"
"CEPSA","MADRID","AVENIDA ENSANCHE DE VALLECAS, 2"
"GHC","MADRID","CARRETERA N-III KM. 11,8"
"BP SAN PEDRO MD","MADRID","CR A-3  MG IZDO, KM 11,2 km 11,200"
"BP MAYORAZGO 365","MADRID","CALLE SIERRA DE LA DEMANDA, 2"
"PLENOIL","MADRID","CARRETERA VILLAVERDE A VALLECAS KM. 267"
"BALLENOIL","MADRID","CALLE G, 2"
"CEPSA VALLECAS-LA ATALAYUELA 365","MADRID","CARRETERA VILLAVERDE A VALLECAS KM. 248"
"SHELL ATALAYUELA 365","MADRID","CALLE GUADALCANAL, 36"
"REPSOL","MADRID","CL AVENIDA ALBUFERA, 319"
"SHELL","MADRID","CARRETERA DE VILLAVERDE A VALLECAS KM. 269"
"BALLENOIL","MADRID","CAMINO POZO DEL TIO RAIMUNDO, 6"
"PLENOIL","MADRID","CALLE CAMINO DE LAS HORMIGUERAS, 177"
"BALLENOIL","MADRID","CALLE CERRO DEL MURMULLO, 1"
"BALLENOIL","MADRID","CAMINO HORMIGUERAS, 153"
"CEPSA","MADRID","AVENIDA CIUDAD DE BARCELONA, 61"
"REPSOL","MADRID","AV DOCTOR ESQUERDO, 153"
"SHELL","MADRID","CALLE GOYA, 24"
"REPSOL","MADRID","CL AVDA .ALFONSO XIII  ESQ.C/ COSTA"
"REPSOL","MADRID","CL MARIA DE MOLINA, 21"
"BP","MADRID","CL PRINCIPE DE VERGARA  106"
"REPSOL","MADRID","CL MATEO INURRIA, 4"
"REPSOL","MADRID","AVENIDA PÍO XII, 98"
"CEPSA","MADRID","CALLE CORAZON DE MARIA, 76"
"BP","MADRID","AV DOCTOR ARCE  30"
"REPSOL","MADRID","CALLE SERRANO, 197"
"NATURGY","MADRID","AVENIDA FRANCISCO PI Y MARGALL, 5"
"ALIARA ENERGIA","MADRID","CALLE PORTOMARIN, 25"
"REPSOL","MADRID","CALLE ABETAL, 8"
"CEPSA","MADRID","CALLE MARIA DE PORTUGAL, 15"
"REPSOL","MADRID","CALLE CEA BERMUDEZ, 32"
"REPSOL","MADRID","CL RIOS ROSAS, 1"
"REPSOL","MADRID","CR A-6, 8"
"GALP","MADRID","CALLE BRAVO MURILLO, 229"
"GALP","MADRID","CALLE SINESIO DELGADO, 15"
"HAM TRES CANTOS","MADRID","CARRETERA M-607 KM. 17,7"
"BP E.S. NAVALCARRO","MADRID","CARRETERA M-607 KM. 19"
"SHELL","MADRID","CALLE CARDENAL HERRERA ORIA, 81"
"REPSOL","MADRID","SAN GENJO, 2"
"REPSOL","MADRID","CARRETERA COLMENAR VIEJO KM. 10,5"
"REPSOL","MADRID","CARRETERA COLMENAR VIEJO KM. 10,5"
"ALCAMPO","MADRID","CALLE JOSE PAULETE,"
"POWER3OIL","MADRID","AVENIDA DEMOCRACIA, 15"
"SHELL","MADRID","CALLE SANTO DOMINGO, 10"
"BP GUADALCANAL 365","MADRID","CALLE GUADALCANAL, 39"
"PLENOIL","MADRID","CALLE SAN DALMACIO, 13"
"SIOMN GRUP","MADRID","CARRETERA VILLAVERDE A VALLECAS KM. 283"
"PLENOIL","MADRID","AVENIDA LOS ROSALES, 15"
"REPSOL","MADRID","CARRETERA DE LA CORUÑA KM 12 KM."
"CEPSA","MADRID","CARRETERA A6 KM. 11,6"
"BALLENOIL","MADRID","CALLE SAGITARIO, 2"
"NATURGY","MADRID","CALLE PIÑUECAR, 53"
"REPSOL","MADRID","AVENIDA VENTISQUERO DE LA CONDESA,"
"CARREFOUR","MADRID","AVENIDA AVDA DE ANDALUCIA KM 7,1, S/N"
"REPSOL","MADRID","CR N-4     P.K. 6,70 D"
"REPSOL","MADRID","CR N-4     P.K. 6,70 I"
"ALIARA ENERGIA","MADRID","AVENIDA CORDOBA, 49"
"BALLENOIL","MADRID","AVENIDA OROVILLA, 22"
"SUPECO","MADRID","CALLE EDUARDO BARREIROS, 114"
"BALLENOIL","MADRID","CARRETERA CARABANCHEL A VILLAVERDE KM. 89"
"REPSOL","MADRID","CALLE HULLA, 22"
"GALP","MADRID","AVENIDA REAL DE PINTO, 106"
"NATURGY","MADRID","CALLE RAFAEL BOTI, 5"
"BALLENOIL","MADRID","CALLE RESINA, 4"
"BALLENOIL","MADRID","CALLE VALLE DE TOBALINA, 24"
"SHELL","MADRID","AVENIDA ANDALUCIA, 83"
"LOW COST REPOST","MADRID","AVENIDA REAL DE PINTO, 156"
"GALP&GO","MADRID","CALLE LA ACEBEDA, 57"
"CEPSA","MADRID","AVENIDA SAN LUIS, 75"
"SHELL","MADRID","CL CARRETERA CANILLAS, 150"
"SHELL","MADRID","CALLE TOMAS REDONDO, 10"
"CARREFOUR","MADRID","CALLE VERSALLES, 23"
"REPSOL","MADRID","AVENIDA DAROCA,336"
"CEPSA","MADRID","AVDA. DEMOCRACIA, 41"
"BALLENOIL","MADRID","CARRETERA VICALVARO A ESTACION DE O`DONNELL KM. 22"
"REPSOL","MADRID","ZONA PLATAFORMA AEROPUERTO BARAJAS T123, S/N"
"CEPSA","MADRID","AVDA. DE LOGROÑO, 233"
"CEPSA","MADRID","GLORIETA YUCATAN, S/N"
"CEPSA","MADRID","M-40, PK 7.4 - ACCESO AL CAMPO DE LAS NACIONES, 2"
"REPSOL","MADRID","ZONA AEROPUERTO DE BARAJAS, TERMINAL 2, S/N"
"REPSOL","MADRID","ZONA AEROPUERTO DE BARAJAS, T4, S/N"
"GALP","MADRID","CAMINO DEL CUARTEL, 9"
"REPSOL","MADRID","CL AVENIDA GENERAL, 22"
"CEPSA","MADRID","AVDA. PORTUGAL, 16"
"REPSOL","MADRID","PASEO EXTREMADURA, 300"
"Q8","MADRID","AVENIDA ALBUFERA, 89"
"REPSOL","MADRID","CL ANTONIO LOPEZ, 244"
"STAR PETROLEUM","MADRID","CALLE AVENIDA DE LOS POBLADOS, 167"
"ALIARA ENERGIA","MADRID","CALLE FUENTE DE LIMA, 22"
"STAR PETROLEUM","MADRID","CALLE SESEÑA, 40"
"CEPSA","MADRID","AVENIDA DE LOS POBLADOS, 18"
"BP A42 CHEYPER","MADRID","CARRETERA A 42 KM. 5,9"
"BP CARABANCHEL","MADRID","CALLE REAL, 2"
"ALIARA ENERGIA","MADRID","CALLE VIA DE LOS POBLADOS, 128"
"BALLENOIL","MADRID","CALLE REUS, 13"
"ION +","MADRID","CALLE MUGUET, 12"
"REPSOL","MADRID","AVENIDA CARABANCHEL ALTO, 180"
"REPSOL","MADRID","AVENIDA AVIACION, 32"
"E.LECLERC","MADRID","CALLE CALDERILLA, 1"
"BALLENOIL","MADRID","CALLE SINFONIA, 9"
"BP ISLA AZUL","MADRID","CALLE AGUACATE, 45"
"LOW COST REPOST","MADRID","CALLE HILARIO HERRANZ ESTABLOS, 20"
"REPSOL","MADRID","AVENIDA OPORTO, SN"
"BP FERMIN FERNANDEZ","MADRID","PS DE LA ERMITA DEL SANTO  S/N"
"SHELL","MADRID","CALLE ANTONIO DE LEYVA, 87"
"SHELL","MADRID","C/ CAMPEZO, 7 km CENTRO COMERCIAL M"
"CEPSA","MADRID","AVENIDA CANILLEJAS A VICALVARO, 147"
"GALP","MADRID","Niceto Alcalá Zamora 20"
"NATURGY","MADRID","CALLE FUEMBELLIDA, 3"
"BEROIL LAS ROSAS","MADRID","CALLE SOFIA, 36"
"NATURGY","MADRID","AVENIDA EJE CENTRAL, 7"
"REPSOL BUTANO","MADRID","CALLE MENDEZ ALVARO, S/N"
"CEPSA","MADRID","MONTE IGUELDO, 108"
"REPSOL","MADRID","CARRETERA M-301 KM. 3,5"
"REPSOL","MADRID","AUTOPISTA M-50 KM. 34"
"REPSOL","MADRID","AUTOVIA M-50 KM. 34"
"REPSOL","MADRID","CALLE ALTO DEL RETIRO, 2"
"CARREFOUR","MADRID","CALLE ADOLFO BIOY CASARES 2, 2"
"REPSOL","MADRID","CL GL.CORREGIDOR SANCHO DE CORD, S."
"BP MADRID - AV DAROCA","MADRID","AVENIDA DE DAROCA, 4"
"BP","MADRID","CALLE RICARDO ORTIZ, 44"
"REPSOL","MADRID","EMILIO FERRARI, 68"
"CEPSA-ELF","MADRID","ALCALA, 284-286"
"REPSOL","MADRID","ARTURO SORIA, 29"
"CEPSA","MADRID","CALLE HERNANDEZ TEJADA, S/N ESQ. AGASTIA, S/N (A-2 KM 5,1), S,N"
"REPSOL","MADRID","CL ALCALA, 510"
"BALLENOIL","MADRID","CALLE ALBASANZ, 69"
"MADRID WETAXI GLP","MADRID","CALLE ISAAC JIMENEZ, 3"
"CEPSA","MADRID","HNOS. GARCIA NOBLEJAS, 35"
"REPSOL","MADRID","SILVANO, 88-90"
"REPSOL","MADRID","CL ARTURO SORIA, 175"
"REPSOL","MADRID","CR M-214, 4,6"
"NATURGY","MADRID","CALLE RIVAS, 14"
"PLENOIL","MADRID","CALLE PIROTECNIA, 2"
"CARREFOUR","MADRID","POLIGONO EL CARRALERO II, C/ DE LAS MORERAS, , PARCELA 37, 2"
"REPSOL","MADRID","CALLE BARBERO DE SEVILLA, 2"
"BALLENOIL","MADRID","CALLE CEREZA, 4"
"REPSOL","MADRID","CL DR.MARAÑON C/V PL ESCORIAL, S.N."
"REPSOL","MADRID","CALLE MANUEL DE FALLA, 2"
"REPSOL","MADRID","AU R-2 ,P.K. 35,5 M.I."
"BP MECO","MADRID","AV. DE MADRID 51"
"IDS","MADRID","CARRETERA N-II KM. 38"
"PETROPRIX","MADRID","CALLE PORTUGAL, 30"
"REPSOL","MADRID","CALLE DURATON, 1"
"FRII","MADRID","CARRETERA M208 KM. 9,600"
"REPSOL","MADRID","AUTOVIA A-1 KM. 41"
"REPSOL","MADRID","AUTOVIA A-1 KM. 40,2"
"REPSOL","MADRID","AUTOVIA N-1 KM. 40,2"
"MORAFUEL","MADRID","CALLE ROBLE, 6"
"REPSOL","MADRID","CARRETERA M-856 (ENLACE N-V Y N-501) KM. 1"
"LOS ROSALES","MADRID","GLORIETA LOS JAZMINES, S/N"
"CARREFOUR","MADRID","CARRETERA NACIONAL VKM 19 KM."
"REPSOL","MADRID","CR A-5, 21"
"BALLENOIL","MADRID","CALLE FRAGUA, 16"
"OLANCA","MADRID","AVENIDA DE LAS NIEVES, 5"
"GALP","MADRID","CARRETERA SIMÓN HERNÁNDEZ, 61 KM."
"E.S. TERUGAS","MADRID","CALLE SIMON HERNANDEZ, 75"
"PETROL MÓSTOLES","MADRID","CALLE TORRES QUEVEDO, 6"
"LAVAPLUS","MADRID","CALLE SIMON HERNANDEZ (DE), 73"
"BALLENOIL","MADRID","CALLE ALFONSO XII, 20"
"CEPSA","MADRID","CALLE E, 12"
"CEPSA","MADRID","AUTOVIA A-5 KM. 28,6"
